,High,Low,Open,Close,Volume,Adj Close,Ret_Diff,Ret_%_Chg,Ret_Log,Vol
0,128.10000610351562,126.0,127.87999725341797,126.37999725341797,8515300.0,124.7795181274414,-1.115692138671875,-0.008862069782587967,-0.008901571474004832,0.18115437048328942
1,127.45999908447266,125.31999969482422,125.80999755859375,127.18000030517578,6778600.0,125.56938171386719,0.7898635864257812,0.00633007402400021,0.006310123254395172,0.1812090793102332
2,128.36000061035156,126.06999969482422,126.33000183105469,128.16000366210938,5798400.0,126.53700256347656,0.967620849609375,0.007705866162615038,0.007676327625585344,0.18132037132614948
3,129.52000427246094,128.25,128.39999389648438,129.25999450683594,5737300.0,127.623046875,1.0860443115234375,0.008582819961920896,0.008546196965863118,0.18132505880851482
4,129.97000122070312,128.30999755859375,129.13999938964844,129.89999389648438,5044700.0,128.2549285888672,0.6318817138671875,0.004951156780374388,0.004938940111476775,0.18133104543765025
5,131.0,129.58999633789062,130.00999450683594,130.83999633789062,6119400.0,129.1830291748047,0.9281005859375,0.007236373651671624,0.007210316729429067,0.1814232711885955
6,131.75,130.72000122070312,131.2899932861328,131.0,6585800.0,129.34100341796875,0.1579742431640625,0.0012228714884081615,0.001222124390078072,0.1814187650979239
7,132.08999633789062,130.22999572753906,131.0,131.82000732421875,5437100.0,130.15061950683594,0.8096160888671875,0.006259546991845166,0.006240037399386722,0.18145671638913857
8,132.5,130.6699981689453,132.42999267578125,131.2100067138672,5017000.0,129.5483856201172,-0.60223388671875,-0.004627207223451779,-0.0046379458862801926,0.1814781333772447
9,131.39999389648438,129.89999389648438,130.55999755859375,131.10000610351562,5532300.0,129.43975830078125,-0.1086273193359375,-0.0008385077036349164,-0.0008388594478594413,0.18144797300812598
10,131.39999389648438,130.5399932861328,131.08999633789062,130.88999938964844,5124200.0,129.232421875,-0.20733642578125,-0.0016017986166155795,-0.0016030828676107944,0.18145872353699408
11,130.8000030517578,129.61000061035156,130.5800018310547,129.92999267578125,4911700.0,128.49072265625,-0.74169921875,-0.005739265797149673,-0.005755798671147616,0.18100543961213314
12,130.33999633789062,129.07000732421875,129.6199951171875,129.92999267578125,6082700.0,128.49072265625,0.0,0.0,0.0,0.1810003622091666
13,131.50999450683594,129.99000549316406,130.9499969482422,130.66000366210938,5591800.0,129.21261596679688,0.721893310546875,0.005618252396931034,0.005602528881893498,0.18091499734095323
14,131.77999877929688,130.5,131.0,130.7100067138672,6645500.0,129.2620849609375,0.049468994140625,0.00038284956751688526,0.0003827762993209305,0.18075937586024798
15,131.91000366210938,129.8000030517578,130.05999755859375,131.8800048828125,6569100.0,130.41912841796875,1.15704345703125,0.008951143387335048,0.0089113193739081,0.18086086892347508
16,132.2100067138672,130.5,131.82000732421875,131.88999938964844,6035200.0,130.42901611328125,0.0098876953125,7.581476300622114e-05,7.581188921257365e-05,0.18065453044371307
17,132.10000610351562,130.92999267578125,131.8800048828125,131.27999877929688,7509600.0,129.82574462890625,-0.603271484375,-0.004625285863162909,-0.004636015595992582,0.18074979960120907
18,131.0500030517578,129.05999755859375,130.38999938964844,129.69000244140625,10401900.0,128.2533721923828,-1.5723724365234375,-0.01211140703269531,-0.01218534774672353,0.1811788685491501
19,131.10000610351562,129.8699951171875,130.1999969482422,130.63999938964844,10631300.0,129.19284057617188,0.9394683837890625,0.0073250969368652274,0.007298398713073695,0.18127729098921752
20,131.5800018310547,129.97999572753906,130.64999389648438,130.72000122070312,11086000.0,129.27197265625,0.079132080078125,0.0006125113413808503,0.0006123238328727965,0.18123254238917139
21,132.50999450683594,130.36000061035156,131.83999633789062,130.85000610351562,8323400.0,129.40052795410156,0.1285552978515625,0.0009944560697112692,0.0009939619258494403,0.18123207627827484
22,133.57000732421875,131.42999267578125,131.94000244140625,133.07000732421875,7178000.0,131.59593200683594,2.195404052734375,0.016965959006852716,0.0168236445365606,0.18178068758961494
23,133.6199951171875,132.6999969482422,133.3800048828125,133.55999755859375,6198200.0,132.08050537109375,0.4845733642578125,0.00368228224739231,0.0036755192432265105,0.18177385466355278
24,136.30999755859375,133.61000061035156,134.0,136.27999877929688,8065800.0,134.77037048339844,2.6898651123046875,0.02036534539860546,0.020160744927744112,0.1825100120168832
25,136.5800018310547,133.0500030517578,136.36000061035156,133.83999633789062,8309200.0,132.35739135742188,-2.4129791259765625,-0.01790437406472667,-0.018066596615849306,0.18353929367113112
26,134.9199981689453,133.22999572753906,133.44000244140625,134.74000549316406,5261000.0,133.2474365234375,0.890045166015625,0.006724559594953883,0.006702050596469888,0.1836124591789703
27,135.19000244140625,133.80999755859375,134.89999389648438,133.91000366210938,7988700.0,132.4266357421875,-0.82080078125,-0.0061599742754196996,-0.006179025192690091,0.18293635319824933
28,135.1300048828125,133.5399932861328,134.0399932861328,134.86000061035156,5743300.0,133.3660888671875,0.939453125,0.007094140236477475,0.007069095202524522,0.18257907716087762
29,135.77000427246094,134.30999755859375,135.17999267578125,134.39999389648438,4881600.0,132.91119384765625,-0.45489501953125,-0.0034108747088194002,-0.0034167050033371282,0.18199796776868682
30,135.6999969482422,134.75,134.9600067138672,135.0,6464100.0,133.50454711914062,0.593353271484375,0.004464283664207258,0.004454348308414069,0.18202019052993162
31,135.72999572753906,134.0,135.10000610351562,135.10000610351562,10044500.0,133.60345458984375,0.098907470703125,0.0007408546962439644,0.0007405803988707049,0.1815128690817843
32,136.30999755859375,134.1199951171875,134.3699951171875,136.1999969482422,8713300.0,134.6912384033203,1.0877838134765625,0.00814188388179038,0.008108917562961615,0.18162852758088321
